Year,Catch
1952,26716
1953,35617
1954,35814
1955,33139
1956,32912
1957,53978
1958,61998
1959,64316
1960,73148
1961,78731
1962,82357
1963,69785
1964,62888
1965,63340
1966,87074
1967,54846
1968,63459
1969,68779
1970,102100
1971,103306
1972,111465
1973,132358
1974,132345
1975,136874
1976,153806
1977,190592
1978,197168
1979,233041
1980,236322
1981,240635
1982,250664
1983,303880
1984,301428
1985,316902
1986,303945
1987,343382
1988,337044
1989,398669
1990,451008
1991,481804
1992,479853
1993,435917
1994,463605
1995,471041
1996,457958
1997,498417
1998,564261
1999,495640
2000,533236
2001,536166
2002,526610
2003,604846
2004,626973
2005,568769
2006,549473
2007,578383
2008,643860
2009,571458
2010,584132
2011,548862
2012,650040
2013,605645
2014,656369
2015,622143
2016,676793
2017,718879
2018,706974
2019,705109
2020,736207
2021,751822
