Time,Year,Quarter,Catch
1,1952,1,6.5
2,1952,2,7.7
3,1952,3,4.6
4,1952,4,7.9
5,1953,1,8.3
6,1953,2,9.9
7,1953,3,8.7
8,1953,4,8.7
9,1954,1,9.8
10,1954,2,11.3
11,1954,3,6.2
12,1954,4,8.5
13,1955,1,8.2
14,1955,2,12.9
15,1955,3,6
16,1955,4,6
17,1956,1,9.9
18,1956,2,10.6
19,1956,3,3.8
20,1956,4,8.6
21,1957,1,12.9
22,1957,2,10.9
23,1957,3,9.7
24,1957,4,20.4
25,1958,1,11.6
26,1958,2,19.8
27,1958,3,15.6
28,1958,4,15.1
29,1959,1,16.7
30,1959,2,19.9
31,1959,3,11.3
32,1959,4,16.4
33,1960,1,20.5
34,1960,2,25.7
35,1960,3,11.8
36,1960,4,15.1
37,1961,1,16.6
38,1961,2,22.8
39,1961,3,19.1
40,1961,4,20.3
41,1962,1,22.8
42,1962,2,19.3
43,1962,3,22.1
44,1962,4,18.1
45,1963,1,12.7
46,1963,2,16
47,1963,3,18.8
48,1963,4,22.3
49,1964,1,15.9
50,1964,2,16.6
51,1964,3,17.2
52,1964,4,13.1
53,1965,1,13.3
54,1965,2,19.1
55,1965,3,16.7
56,1965,4,14.3
57,1966,1,16.3
58,1966,2,29.9
59,1966,3,22.7
60,1966,4,18.2
61,1967,1,12.6
62,1967,2,16
63,1967,3,13.5
64,1967,4,12.7
65,1968,1,14.8
66,1968,2,21.8
67,1968,3,15.7
68,1968,4,11.2
69,1969,1,14.8
70,1969,2,22
71,1969,3,16.6
72,1969,4,15.4
73,1970,1,26.5
74,1970,2,28.1
75,1970,3,23.2
76,1970,4,24.2
77,1971,1,24.9
78,1971,2,28.5
79,1971,3,25.2
80,1971,4,24.6
81,1972,1,30
82,1972,2,30.4
83,1972,3,29.2
84,1972,4,21.8
85,1973,1,30
86,1973,2,34.9
87,1973,3,38.3
88,1973,4,29.2
89,1974,1,32.9
90,1974,2,36.6
91,1974,3,32.4
92,1974,4,30.4
93,1975,1,33.3
94,1975,2,36.2
95,1975,3,32.7
96,1975,4,34.6
97,1976,1,33.3
98,1976,2,42.1
99,1976,3,39.5
100,1976,4,38.9
101,1977,1,44.4
102,1977,2,51.1
103,1977,3,50.4
104,1977,4,44.7
105,1978,1,45.7
106,1978,2,54.7
107,1978,3,51.1
108,1978,4,45.7
109,1979,1,53.4
110,1979,2,63.8
111,1979,3,61.3
112,1979,4,54.5
113,1980,1,55.2
114,1980,2,65.7
115,1980,3,66.2
116,1980,4,49.3
117,1981,1,51
118,1981,2,72.2
119,1981,3,64.2
120,1981,4,53.3
121,1982,1,62
122,1982,2,64.4
123,1982,3,63.3
124,1982,4,61
125,1983,1,68.8
126,1983,2,73.2
127,1983,3,81.8
128,1983,4,80.1
129,1984,1,71.2
130,1984,2,69.3
131,1984,3,94.4
132,1984,4,66.5
133,1985,1,70.9
134,1985,2,85.4
135,1985,3,84.5
136,1985,4,76.2
137,1986,1,80.9
138,1986,2,72.9
139,1986,3,74.3
140,1986,4,75.8
141,1987,1,80.6
142,1987,2,86.5
143,1987,3,93.7
144,1987,4,82.5
145,1988,1,80.9
146,1988,2,87.8
147,1988,3,95.4
148,1988,4,72.9
149,1989,1,84.5
150,1989,2,101.8
151,1989,3,116.2
152,1989,4,96.1
153,1990,1,98.4
154,1990,2,126.1
155,1990,3,125.1
156,1990,4,101.4
