Year,CPUE
1952,77.8
1953,82.6
1954,72.1
1955,71.5
1956,74.9
1957,87.3
1958,78
1959,80
1960,84.2
1961,69.9
1962,61.9
1963,55.6
1964,59.6
1965,59.2
1966,63
1967,46.9
1968,51.4
1969,52.4
1970,54.4
1971,56.5
1972,50
1973,44.7
1974,43
1975,43
1976,42.5
1977,44.9
1978,54.9
1979,47.9
1980,50.3
1981,36.2
1982,36.6
1983,43.9
1984,35.3
1985,38.8
1986,42.7
1987,41.3
1988,38.6
1989,34
1990,37.6
1991,33.3
1992,39.9
1993,34.7
1994,34
1995,34.9
1996,42.1
1997,39.5
1998,29.4
1999,24.1
2000,34.6
2001,26.5
2002,24.1
2003,26.5
2004,28
2005,22.2
2006,24.4
2007,24.3
2008,24.3
2009,23.4
2010,23
2011,22.2
2012,19.7
2013,19.4
2014,25.3
2015,26.3
2016,26
2017,29.3
2018,25.2
2019,31.3
2020,25.9
2021,27.5
