Time,Year,Quarter,Index
1,1952,1,55
2,1952,2,74.6
3,1952,3,81.6
4,1952,4,100
5,1953,1,75.2
6,1953,2,95.9
7,1953,3,76.2
8,1953,4,82.9
9,1954,1,75.7
10,1954,2,76
11,1954,3,69.8
12,1954,4,66.9
13,1955,1,74.1
14,1955,2,77.1
15,1955,3,60.2
16,1955,4,74.6
17,1956,1,69
18,1956,2,73
19,1956,3,73
20,1956,4,84.8
21,1957,1,84.2
22,1957,2,100.9
23,1957,3,86
24,1957,4,77.9
25,1958,1,67.2
26,1958,2,88
27,1958,3,80
28,1958,4,76.7
29,1959,1,70
30,1959,2,80.4
31,1959,3,91
32,1959,4,78.7
33,1960,1,78.6
34,1960,2,102.5
35,1960,3,83
36,1960,4,72.7
37,1961,1,69.2
38,1961,2,86.6
39,1961,3,64.4
40,1961,4,59.1
41,1962,1,56.1
42,1962,2,66.5
43,1962,3,63.2
44,1962,4,61.8
45,1963,1,49.6
46,1963,2,56.8
47,1963,3,56.4
48,1963,4,59.5
49,1964,1,52.2
50,1964,2,67.5
51,1964,3,63.6
52,1964,4,55
53,1965,1,53.6
54,1965,2,62.9
55,1965,3,61.8
56,1965,4,58.5
57,1966,1,64.4
58,1966,2,73.4
59,1966,3,62.5
60,1966,4,51.5
61,1967,1,43.8
62,1967,2,46.2
63,1967,3,49.5
64,1967,4,48
65,1968,1,47.4
66,1968,2,57.8
67,1968,3,52.1
68,1968,4,48.3
69,1969,1,45.9
70,1969,2,54
71,1969,3,53.6
72,1969,4,56.2
73,1970,1,56.7
74,1970,2,63.3
75,1970,3,46.5
76,1970,4,51.2
77,1971,1,56.2
78,1971,2,55.4
79,1971,3,54.1
80,1971,4,60.2
81,1972,1,53.5
82,1972,2,52.9
83,1972,3,47.7
84,1972,4,45.7
85,1973,1,38
86,1973,2,45.1
87,1973,3,47.9
88,1973,4,47.9
89,1974,1,40.5
90,1974,2,43.3
91,1974,3,42.1
92,1974,4,46
93,1975,1,41.9
94,1975,2,49.9
95,1975,3,42.8
96,1975,4,37.4
97,1976,1,38.6
98,1976,2,43.8
99,1976,3,43.5
100,1976,4,44.1
101,1977,1,39.9
102,1977,2,46.1
103,1977,3,47.2
104,1977,4,46.6
105,1978,1,49.6
106,1978,2,63.8
107,1978,3,55.8
108,1978,4,50.2
109,1979,1,41.5
110,1979,2,47.4
111,1979,3,47.4
112,1979,4,55.3
113,1980,1,51.3
114,1980,2,52.2
115,1980,3,52.6
116,1980,4,45.1
117,1981,1,32.6
118,1981,2,37.7
119,1981,3,38.7
120,1981,4,35.6
121,1982,1,34.2
122,1982,2,36.2
123,1982,3,37.6
124,1982,4,38.4
125,1983,1,35.9
126,1983,2,37.2
127,1983,3,46.1
128,1983,4,56.2
